iter	Passed	Remaining
0	179	179610
1	197	98348
2	219	73087
3	245	61046
4	272	54196
5	296	49122
6	321	45617
7	346	42996
8	371	40875
9	394	39019
10	419	37731
11	443	36516
12	468	35542
13	492	34667
14	520	34169
15	544	33484
16	572	33118
17	601	32821
18	629	32487
19	659	32301
20	689	32121
21	718	31933
22	746	31725
23	775	31527
24	804	31383
25	832	31200
26	861	31047
27	888	30839
28	917	30723
29	949	30699
30	978	30599
31	1007	30491
32	1037	30404
33	1064	30251
34	1095	30201
35	1123	30084
36	1165	30331
37	1222	30945
38	1255	30939
39	1291	30994
40	1318	30848
41	1347	30731
42	1372	30541
43	1399	30401
44	1429	30330
45	1457	30234
46	1484	30094
47	1509	29938
48	1535	29797
49	1561	29669
50	1590	29593
51	1617	29489
52	1645	29402
53	1672	29305
54	1700	29216
55	1727	29122
56	1755	29048
57	1781	28937
58	1808	28845
59	1833	28724
60	1860	28641
61	1887	28559
62	1915	28489
63	1944	28431
64	1971	28353
65	2001	28321
66	2029	28261
67	2056	28189
68	2082	28096
69	2109	28023
70	2137	27961
71	2165	27909
72	2192	27838
73	2219	27768
74	2246	27704
75	2274	27648
76	2302	27603
77	2332	27571
78	2361	27531
79	2390	27492
80	2421	27473
81	2454	27480
82	2485	27461
83	2514	27414
84	2541	27362
85	2569	27303
86	2594	27224
87	2619	27142
88	2644	27073
89	2672	27022
90	2702	26994
91	2730	26944
92	2755	26874
93	2782	26819
94	2807	26749
95	2834	26688
96	2860	26629
97	2887	26573
98	2916	26541
99	2944	26503
100	2971	26448
101	2999	26409
102	3025	26352
103	3051	26291
104	3078	26238
105	3104	26180
106	3131	26137
107	3155	26064
108	3184	26034
109	3213	25997
110	3240	25950
111	3269	25925
112	3300	25908
113	3332	25900
114	3361	25868
115	3390	25835
116	3420	25817
117	3450	25791
118	3479	25759
119	3508	25731
120	3535	25683
121	3562	25636
122	3589	25592
123	3617	25555
124	3645	25516
125	3672	25473
126	3698	25424
127	3729	25408
128	3759	25385
129	3786	25337
130	3813	25294
131	3839	25250
132	3868	25214
133	3896	25179
134	3929	25174
135	3959	25154
136	3984	25101
137	4012	25062
138	4039	25022
139	4067	24986
140	4096	24957
141	4124	24919
142	4152	24885
143	4179	24842
144	4204	24794
145	4230	24743
146	4257	24704
147	4286	24678
148	4314	24643
149	4345	24622
150	4374	24597
151	4405	24576
152	4436	24562
153	4465	24533
154	4496	24514
155	4524	24480
156	4552	24444
157	4579	24404
158	4608	24377
159	4638	24351
160	4669	24332
161	4700	24313
162	4729	24285
163	4760	24268
164	4788	24231
165	4816	24199
166	4845	24169
167	4874	24142
168	4904	24115
169	4938	24111
170	4970	24094
171	5000	24071
172	5028	24038
173	5056	24002
174	5084	23971
175	5112	23933
176	5140	23903
177	5169	23874
178	5196	23832
179	5221	23788
180	5248	23748
181	5276	23714
182	5305	23688
183	5334	23658
184	5364	23630
185	5391	23594
186	5420	23565
187	5450	23542
188	5479	23513
189	5508	23483
190	5539	23461
191	5568	23434
192	5599	23415
193	5633	23403
194	5658	23361
195	5687	23331
196	5715	23298
197	5741	23255
198	5769	23223
199	5797	23189
200	5823	23147
201	5849	23108
202	5876	23071
203	5903	23036
204	5931	23001
205	5959	22970
206	5987	22937
207	6014	22902
208	6041	22865
209	6069	22831
210	6098	22802
211	6126	22772
212	6153	22735
213	6181	22705
214	6209	22672
215	6238	22644
216	6270	22626
217	6301	22604
218	6330	22576
219	6362	22557
220	6388	22517
221	6415	22484
222	6447	22464
223	6477	22438
224	6506	22410
225	6537	22388
226	6572	22382
227	6602	22354
228	6633	22332
229	6661	22301
230	6688	22267
231	6715	22231
232	6744	22202
233	6774	22176
234	6801	22140
235	6829	22107
236	6856	22073
237	6886	22048
238	6915	22018
239	6944	21990
240	6974	21964
241	7004	21940
242	7043	21940
243	7081	21940
244	7112	21917
245	7142	21891
246	7173	21869
247	7203	21841
248	7233	21817
249	7262	21787
250	7292	21762
251	7324	21742
252	7356	21719
253	7385	21692
254	7412	21656
255	7439	21621
256	7468	21593
257	7494	21554
258	7521	21520
259	7547	21482
260	7573	21445
261	7601	21411
262	7628	21378
263	7656	21344
264	7682	21309
265	7711	21277
266	7740	21249
267	7767	21214
268	7795	21184
269	7824	21155
270	7852	21123
271	7881	21095
272	7908	21059
273	7933	21021
274	7961	20988
275	7990	20959
276	8018	20928
277	8046	20898
278	8075	20867
279	8107	20848
280	8142	20833
281	8172	20808
282	8207	20793
283	8241	20777
284	8275	20760
285	8309	20745
286	8341	20723
287	8372	20699
288	8403	20675
289	8451	20692
290	8487	20678
291	8518	20654
292	8553	20639
293	8587	20621
294	8621	20603
295	8652	20579
296	8682	20551
297	8710	20520
298	8736	20481
299	8767	20457
300	8800	20437
301	8831	20412
302	8864	20390
303	8895	20366
304	8925	20339
305	8953	20305
306	8980	20271
307	9009	20241
308	9039	20214
309	9067	20181
310	9095	20150
311	9125	20123
312	9157	20099
313	9201	20103
314	9231	20075
315	9260	20044
316	9290	20016
317	9318	19984
318	9346	19953
319	9374	19919
320	9400	19884
321	9427	19850
322	9455	19818
323	9483	19786
324	9509	19750
325	9537	19718
326	9565	19686
327	9592	19653
328	9621	19623
329	9648	19590
330	9674	19554
331	9703	19523
332	9729	19488
333	9757	19456
334	9783	19421
335	9810	19388
336	9839	19357
337	9868	19328
338	9898	19301
339	9928	19272
340	9958	19244
341	9986	19214
342	10016	19185
343	10044	19154
344	10071	19121
345	10100	19092
346	10130	19063
347	10159	19033
348	10183	18996
349	10211	18964
350	10239	18933
351	10269	18904
352	10296	18872
353	10323	18839
354	10352	18808
355	10382	18781
356	10410	18750
357	10439	18720
358	10467	18689
359	10496	18660
360	10521	18624
361	10547	18588
362	10573	18554
363	10601	18522
364	10629	18492
365	10657	18460
366	10683	18427
367	10710	18393
368	10733	18354
369	10762	18324
370	10790	18294
371	10816	18260
372	10846	18232
373	10873	18199
374	10900	18168
375	10928	18136
376	10958	18109
377	10987	18080
378	11015	18049
379	11043	18018
380	11069	17984
381	11095	17951
382	11124	17921
383	11151	17888
384	11180	17859
385	11211	17833
386	11244	17811
387	11276	17786
388	11305	17756
389	11332	17725
390	11361	17696
391	11390	17667
392	11418	17636
393	11449	17610
394	11477	17578
395	11503	17546
396	11531	17515
397	11559	17483
398	11584	17449
399	11610	17415
400	11638	17384
401	11665	17352
402	11693	17322
403	11723	17294
404	11749	17261
405	11777	17230
406	11804	17198
407	11829	17164
408	11855	17130
409	11884	17102
410	11914	17074
411	11941	17042
412	11967	17009
413	11994	16977
414	12021	16946
415	12051	16918
416	12081	16891
417	12109	16860
418	12137	16830
419	12163	16797
420	12189	16764
421	12216	16732
422	12243	16700
423	12272	16672
424	12300	16642
425	12329	16612
426	12357	16582
427	12386	16553
428	12412	16521
429	12439	16489
430	12465	16457
431	12491	16424
432	12519	16393
433	12544	16359
434	12570	16327
435	12600	16300
436	12627	16268
437	12653	16235
438	12682	16206
439	12706	16171
440	12733	16140
441	12757	16105
442	12783	16072
443	12810	16041
444	12835	16008
445	12861	15976
446	12889	15945
447	12918	15916
448	12948	15889
449	12974	15858
450	12999	15823
451	13026	15792
452	13052	15760
453	13079	15729
454	13107	15700
455	13133	15668
456	13163	15640
457	13190	15609
458	13217	15578
459	13245	15549
460	13274	15520
461	13301	15489
462	13329	15459
463	13357	15429
464	13385	15400
465	13411	15368
466	13438	15337
467	13464	15305
468	13493	15276
469	13522	15249
470	13550	15219
471	13579	15190
472	13606	15159
473	13633	15128
474	13657	15095
475	13683	15063
476	13711	15033
477	13737	15002
478	13765	14972
479	13792	14942
480	13819	14911
481	13845	14879
482	13873	14850
483	13903	14822
484	13933	14795
485	13962	14766
486	13988	14735
487	14016	14705
488	14041	14673
489	14065	14639
490	14091	14607
491	14115	14574
492	14139	14540
493	14161	14505
494	14186	14473
495	14210	14439
496	14234	14406
497	14259	14374
498	14286	14343
499	14312	14312
500	14340	14283
501	14370	14255
502	14397	14226
503	14423	14194
504	14449	14163
505	14473	14130
506	14498	14098
507	14523	14066
508	14549	14035
509	14574	14003
510	14600	13971
511	14625	13939
512	14651	13908
513	14675	13875
514	14701	13844
515	14726	13813
516	14750	13780
517	14778	13751
518	14805	13721
519	14830	13689
520	14854	13657
521	14880	13625
522	14905	13594
523	14932	13564
524	14957	13532
525	14981	13500
526	15005	13467
527	15030	13436
528	15055	13404
529	15081	13374
530	15107	13343
531	15132	13311
532	15157	13280
533	15182	13249
534	15209	13219
535	15235	13189
536	15261	13158
537	15285	13126
538	15310	13095
539	15335	13063
540	15359	13031
541	15386	13002
542	15411	12971
543	15435	12938
544	15458	12906
545	15483	12874
546	15507	12842
547	15531	12810
548	15556	12779
549	15582	12748
550	15608	12719
551	15632	12686
552	15656	12655
553	15680	12624
554	15707	12594
555	15733	12564
556	15760	12534
557	15784	12503
558	15808	12471
559	15836	12442
560	15859	12410
561	15882	12378
562	15909	12348
563	15936	12319
564	15960	12288
565	15987	12258
566	16012	12228
567	16037	12197
568	16059	12164
569	16085	12134
570	16109	12103
571	16133	12072
572	16157	12040
573	16181	12009
574	16204	11977
575	16234	11950
576	16258	11919
577	16283	11888
578	16308	11857
579	16333	11827
580	16357	11796
581	16385	11768
582	16411	11738
583	16436	11707
584	16460	11676
585	16486	11647
586	16509	11615
587	16535	11586
588	16560	11555
589	16586	11526
590	16610	11495
591	16636	11465
592	16659	11433
593	16684	11403
594	16708	11373
595	16732	11342
596	16758	11312
597	16783	11282
598	16809	11252
599	16834	11223
600	16860	11193
601	16887	11164
602	16911	11133
603	16938	11105
604	16962	11075
605	16988	11045
606	17016	11017
607	17041	10987
608	17067	10958
609	17093	10928
610	17117	10897
611	17142	10868
612	17166	10837
613	17192	10808
614	17219	10779
615	17244	10749
616	17270	10720
617	17297	10691
618	17321	10661
619	17347	10632
620	17372	10602
621	17396	10572
622	17420	10541
623	17443	10510
624	17470	10482
625	17494	10452
626	17520	10422
627	17545	10393
628	17569	10362
629	17592	10332
630	17617	10302
631	17640	10271
632	17665	10242
633	17690	10212
634	17716	10183
635	17741	10153
636	17766	10124
637	17791	10094
638	17816	10065
639	17839	10034
640	17865	10005
641	17888	9975
642	17913	9945
643	17938	9916
644	17964	9887
645	17988	9857
646	18013	9827
647	18036	9797
648	18060	9767
649	18086	9739
650	18108	9707
651	18132	9678
652	18156	9648
653	18181	9618
654	18207	9590
655	18232	9560
656	18255	9530
657	18281	9501
658	18305	9472
659	18332	9444
660	18358	9415
661	18383	9385
662	18407	9356
663	18430	9326
664	18453	9295
665	18478	9267
666	18504	9238
667	18528	9208
668	18554	9180
669	18579	9151
670	18604	9121
671	18630	9093
672	18655	9064
673	18680	9035
674	18703	9005
675	18729	8976
